full_text,reply_count,retweet_count,favorite_count,url,created_at,view_count,sentiment
Before you throw a stone against another mwananchi for a politician ask yourself would he do the same for you? Let's keep peace.,447.0,3209.0,1972.0,https://twitter.com/skmusyoka/status/291771410920124417,2013-01-17 04:58:19+00:00,,NEU
"Change is coming to Siaya, with Governor William Oduol. Watch this space.....",38.0,22.0,8.0,https://twitter.com/WilliamOduol/status/294074913927602176,2013-01-23 13:31:37+00:00,,POS
Happy Easter. Mujivinjari watunguyaz na musi break law coz wazae wetu wa koti  hawako works.😂😂 https://t.co/YlHBo1GAnC,249.0,1425.0,1094.0,https://twitter.com/WMutunga/status/713213211634483200,2016-03-25 03:57:35+00:00,,POS
"It's my 69th birthday today &amp; my last day as CJ. Have your say at #AdiosCJMutunga 
Photo: Zakheem Rajan https://t.co/vkc31i4kNX",1202.0,1410.0,1982.0,https://twitter.com/WMutunga/status/743296061347794945,2016-06-16 04:16:05+00:00,,NEU
"Niaje tweeps? Sasa mimi ni citizen, thanks kwa support yenu. Jah Bless you! I hope Team Mafisi wamelala. Lol.😂",215.0,890.0,785.0,https://twitter.com/WMutunga/status/743550078879694848,2016-06-16 21:05:27+00:00,,POS
"A great officer in Msa who manages traffic so well,salutes motorists &amp; wears a smile amidst all the pressure.Retweet https://t.co/Fc5uZnUHir",55.0,717.0,640.0,https://twitter.com/WMutunga/status/745940278725517312,2016-06-23 11:23:16+00:00,,POS
"#OppositionUnites against Corruption, Corruptors &amp; the Corrupted. Uniting and mobilising against unethical leadership is a Patriotic duty.",499.0,898.0,1614.0,https://twitter.com/skmusyoka/status/819077741878374400,2017-01-11 07:05:26+00:00,,POS
"Today, the struggle is what is most important.The struggle to mobilize our people to register en masse and ultimately vote.Salutations! https://t.co/oH4kbSC98P",3.0,7.0,13.0,https://twitter.com/WilliamOduol/status/829562178424430594,2017-02-09 05:26:50+00:00,,POS
"#HealthCrisisKe
A dark day for Kenyans indeed. History will judge Jubilee administration harshly for jailing KMPDU officials! 
@AOluga https://t.co/8M7KBCxGds",3.0,38.0,21.0,https://twitter.com/WilliamOduol/status/831061285907337216,2017-02-13 08:43:45+00:00,,NEG
"#HealthCrisisKe
RELENTLESSNESS and STEADFASTNESS are key in any struggle as demonstrated by  KMPDU officials.2017 is a REDEMPTION year! https://t.co/wWZA1poqtE",0.0,28.0,17.0,https://twitter.com/WilliamOduol/status/831069891012747264,2017-02-13 09:17:57+00:00,,POS
1: Don't believe media LIES and propaganda that I am running for political office. They tell the truth by accident!,75.0,625.0,699.0,https://twitter.com/WMutunga/status/832149064259141636,2017-02-16 08:46:12+00:00,,NEG
"NASA is the REAL DEAL. It's the only hope for REDEMPTION of our land. It has to be this year! 
#NASAinMtKenya",2.0,5.0,13.0,https://twitter.com/WilliamOduol/status/836500571653816321,2017-02-28 08:57:32+00:00,,POS
"Jubilee has failed to run this country. Instead of running the country, the country is running them. 
@AOluga  
#HealthStrikeDay89",1.0,9.0,12.0,https://twitter.com/WilliamOduol/status/837606795292127232,2017-03-03 10:13:16+00:00,,NEG
"The president should cease from PR gimmicks and act as a leader.The cost of living is skyrocketing under his reign.Terrible!
#NipasheNaUhuru",3.0,8.0,15.0,https://twitter.com/WilliamOduol/status/843862951144685568,2017-03-20 16:33:00+00:00,,NEG
"This time round,we are going to replace business as usual with business unusual.We are not relenting on this!! 
#NASAParallelTallying",1.0,2.0,10.0,https://twitter.com/WilliamOduol/status/849158818445615104,2017-04-04 07:16:53+00:00,,POS
"So @UKenyatta goes to Central to launch mega projects but comes to Nyanza for drama festivals?
 ~Gawa Mzuri~ @GovernorNanok 
#NyanzaNiKenya",1.0,10.0,9.0,https://twitter.com/WilliamOduol/status/854249518195511296,2017-04-18 08:25:30+00:00,,NEU
"With the Court of Appeal ruling, as NASA family,we must put more efforts in Adopting our polling stations. #PresidentialResultsRuling",4.0,2.0,9.0,https://twitter.com/WilliamOduol/status/878233615863132160,2017-06-23 12:49:45+00:00,,NEU
EABL's plan to put up a 15B brewery plant in Kisumu is a  breath of fresh air.The nation's citizenry is going to benefit immensely.Way to go,0.0,0.0,9.0,https://twitter.com/WilliamOduol/status/879982679911002113,2017-06-28 08:39:54+00:00,,POS
This historic day should  take Kenyan youths on a liberation journey on  8th Aug to finally install a Raila's presidency.#SabaSabaPrayerDay,4.0,8.0,13.0,https://twitter.com/WilliamOduol/status/883223614174187520,2017-07-07 07:18:13+00:00,,POS
Thank you countrymen. The most important office in a democracy is that of the citizen. I am humbled to have presented my case to you.,1373.0,4284.0,8420.0,https://twitter.com/RailaOdinga/status/889574543408467969,2017-07-24 19:54:33+00:00,,POS
Advise to @IEBCKenya: to avoid any loss of life please destroy the 1.2 million extra ballots at least in honour of Chris Msando #RIPMsando,246.0,1887.0,2004.0,https://twitter.com/EAukot/status/891974694395666432,2017-07-31 10:51:53+00:00,,NEG
"@wgkantai @kenyanpundit Criminal gangs have rights. Arrest them, charge them in court. State protects the rights of all including the scum of the earth among us.",153.0,1229.0,992.0,https://twitter.com/WMutunga/status/896314019774160900,2017-08-12 10:14:49+00:00,,NEG
"Let's have an honest national dialogue about exclusion and privilege, tribalism, violence and the politics of power. 
#KenyaMovingForward",33.0,117.0,125.0,https://twitter.com/roselinenjogu/status/896357413657378816,2017-08-12 13:07:15+00:00,,POS
Kenya is greater than any individual. Greater than dreams of any person or group of persons. Say NO to all forms of incitement and violence!,637.0,1287.0,2141.0,https://twitter.com/AbabuNamwamba/status/896700181789454336,2017-08-13 11:49:17+00:00,,POS
"@MikeSonko. I have noticed that when there is no water in an area""Clean Water"" tanks  suddenly appear!Water cartels?",76.0,550.0,631.0,https://twitter.com/WMutunga/status/899567222980571136,2017-08-21 09:41:53+00:00,,NEG
"I, Mohamed Ali Mohamed do not support any move to increase my salary and that of my fellow elected Members of... https://t.co/i3iFzBHoWX",420.0,1734.0,2994.0,https://twitter.com/MohaJichoPevu/status/900351205687173120,2017-08-23 13:37:09+00:00,,NEG
Court has had its say. Majority of Kenyans will have their way in 60 days. And it shall be UhuRuto5Tena! Solidarity @UKenyatta @WilliamsRuto https://t.co/S02sm8CCCU,892.0,1057.0,2391.0,https://twitter.com/AbabuNamwamba/status/903556439372902401,2017-09-01 09:53:37+00:00,,POS
In 60 days the media must also redeem itself by announcing results declared at the 290 Constituency tallying centers,131.0,751.0,1058.0,https://twitter.com/gladyswanga/status/903833394055974913,2017-09-02 04:14:08+00:00,,NEU
We are allowed to disagree with the Supreme Court but it is out of order to call them Wakora,380.0,1452.0,2368.0,https://twitter.com/GvnMutula/status/903920953960402944,2017-09-02 10:02:04+00:00,,NEU
"Kenya will one day be liberated from autocracy,bad manners, big man syndrome, small mentalities,tribal chiefs,corruption cartels.God Hear us",488.0,2292.0,3346.0,https://twitter.com/GvnMutula/status/904089465081212933,2017-09-02 21:11:40+00:00,,POS
"This Country is under the Supreme hand of the Almighty God, the will of the people must prevail, fidelity to the constitution is paramount. https://t.co/SoaL4L6SI8",271.0,706.0,1997.0,https://twitter.com/skmusyoka/status/904373631572205568,2017-09-03 16:00:50+00:00,,POS
"October 17: Cracking campaign. Wider margin. Bigger win. Even more decisive mandate. UhuRutoTena. Twende kazi sasa!
@UKenyatta @WilliamsRuto https://t.co/G18Z3IkkWB",779.0,964.0,2233.0,https://twitter.com/AbabuNamwamba/status/904736445054713856,2017-09-04 16:02:32+00:00,,POS
"In the near future, I will propose that we conduct Presidential elections separately. No reason to run into quagmires at every election.",540.0,1336.0,2959.0,https://twitter.com/GvnMutula/status/905011765762764800,2017-09-05 10:16:33+00:00,,NEU
"Thank You Machakos and Mlolongo, We must affirm our victory once more, real revolutionary mood indeed. https://t.co/wDrfThKCW4",220.0,470.0,1688.0,https://twitter.com/skmusyoka/status/906193733477171201,2017-09-08 16:33:16+00:00,,POS
"At my rural home, I had a surprise visit from my relatives, who came to offer prayers and advice before heading to NASA rally in Narok. https://t.co/vl5NAr6uUd",154.0,362.0,1611.0,https://twitter.com/orengo_james/status/906577783261986816,2017-09-09 17:59:21+00:00,,POS
"""The thirst for power and possessions knows no limits."" Pope Francis",173.0,538.0,724.0,https://twitter.com/WMutunga/status/907941215001300992,2017-09-13 12:17:09+00:00,,POS
My Maiden speech https://t.co/LTLpYnVU2j,186.0,605.0,1882.0,https://twitter.com/MohaJichoPevu/status/908327393760366592,2017-09-14 13:51:41+00:00,,NEU
Jupiter &amp; saturn respectively 1.2billion &amp; 588 kilometres from earth. Spacecrafts sending images and data.Morpho cant send 9miles from Bomas,170.0,1238.0,1749.0,https://twitter.com/orengo_james/status/908982614891122688,2017-09-16 09:15:18+00:00,,NEU
We have launched a Countrywide campaign to sensitize Kenyans why we MUST reform the IEBC https://t.co/mA8Es9grZq,253.0,477.0,1605.0,https://twitter.com/skmusyoka/status/909463885958311944,2017-09-17 17:07:42+00:00,,NEU
"Thank you lord for the gift of life, for my journey this far as I turn 60 today ! I seek your blessings and guidance onwards Amen!",1910.0,846.0,5693.0,https://twitter.com/MarthaKarua/status/911082327526084608,2017-09-22 04:18:48+00:00,,POS
We cannot host CHAN. Cannot hold free and fair elections. We cannot entertain the independence of the judiciary. Kenya deserves better.,398.0,2460.0,3581.0,https://twitter.com/orengo_james/status/911872753829072896,2017-09-24 08:39:40+00:00,,NEG
"On Tuesday, Kenyans will exercise their constitutional duty by holding peaceful picketing to demand the resignation of IEBC officers. https://t.co/1uJJKspwwL",515.0,575.0,1779.0,https://twitter.com/skmusyoka/status/912038144991793154,2017-09-24 19:36:53+00:00,,NEU
I have been locked out of CID hq &amp; police station Pangani and Babu thrown into cells without right to counsel of choice.Dark days are here.,686.0,1560.0,2550.0,https://twitter.com/orengo_james/status/912379613996822528,2017-09-25 18:13:45+00:00,,NEG
